,TrueNeg,FalseNeg,FalsePos,TruePos,Cutoff,sensitivity,specificity,FalsePosRate,PctCorrect,distance,,,
557,500,68,364,381,0.183759296,0.848552339,0.578703704,0.421296296,0.670982483,0.447690701,,,
828,822,200,42,249,0.476574902,0.554565702,0.951388889,0.048611111,0.815689261,0.44807896,,,
510,499,68,365,381,0.170260695,0.848552339,0.577546296,0.422453704,0.670220868,0.448780042,,,
232,826,204,38,245,0.477226189,0.545657016,0.956018519,0.043981481,0.815689261,0.456466777,,,
830,826,205,38,244,0.482130553,0.543429844,0.956018519,0.043981481,0.814927647,0.458683636,,,
243,831,208,33,241,0.502969515,0.53674833,0.961805556,0.038194444,0.816450876,0.464823543,,,
288,477,57,387,392,0.165766813,0.873051225,0.552083333,0.447916667,0.661843107,0.46555916,,,
702,476,57,388,392,0.161418886,0.873051225,0.550925926,0.449074074,0.661081493,0.466672814,,,
816,833,209,31,240,0.547514234,0.534521158,0.96412037,0.03587963,0.81721249,0.466859615,,,
230,832,209,32,240,0.514318453,0.534521158,0.962962963,0.037037037,0.816450876,0.466949991,,,
219,831,209,33,240,0.512028163,0.534521158,0.961805556,0.038194444,0.815689261,0.467043218,,,
506,475,57,389,392,0.159521703,0.873051225,0.549768519,0.450231481,0.660319878,0.46778668,,,
831,469,52,395,397,0.154429533,0.884187082,0.542824074,0.457175926,0.659558264,0.471616856,,,
25,835,213,29,236,0.550251357,0.525612472,0.966435185,0.033564815,0.815689261,0.475573468,,,
666,835,214,29,235,0.569466628,0.523385301,0.966435185,0.033564815,0.814927647,0.477795111,,,
127,836,215,28,234,0.585408821,0.521158129,0.967592593,0.032407407,0.814927647,0.479937264,,,
667,839,216,25,233,0.585758325,0.518930958,0.971064815,0.028935185,0.816450876,0.481938449,,,
681,841,218,23,231,0.591149293,0.514476615,0.97337963,0.02662037,0.816450876,0.486252611,,,
196,840,218,24,231,0.587632075,0.514476615,0.972222222,0.027777778,0.815689261,0.486317348,,,
44,842,219,22,230,0.62092243,0.512249443,0.974537037,0.025462963,0.816450876,0.48841475,,,
405,842,220,22,229,0.686330105,0.510022272,0.974537037,0.025462963,0.815689261,0.490638907,,,
222,842,221,22,228,0.687908816,0.5077951,0.974537037,0.025462963,0.814927647,0.49286309,,,
616,842,222,22,227,0.697022986,0.505567929,0.974537037,0.025462963,0.814166032,0.495087301,,,
839,446,49,418,400,0.151545003,0.890868597,0.516203704,0.483796296,0.644325971,0.495952134,,,
695,445,49,419,400,0.15060314,0.890868597,0.515046296,0.484953704,0.643564356,0.497081239,,,
320,842,223,22,226,0.765146626,0.503340757,0.974537037,0.025462963,0.813404417,0.497311538,,,
468,843,229,21,220,0.77216546,0.489977728,0.975694444,0.024305556,0.809596344,0.510601094,,,
598,843,230,21,219,0.773454867,0.487750557,0.975694444,0.024305556,0.80883473,0.512825752,,,
838,413,45,451,404,0.148704877,0.899777283,0.478009259,0.521990741,0.622239147,0.531525095,,,
488,846,242,18,207,0.815173889,0.461024499,0.979166667,0.020833333,0.801980198,0.539377992,,,
566,847,243,17,206,0.827689543,0.458797327,0.980324074,0.019675926,0.801980198,0.541560223,,,
596,390,44,474,405,0.148407603,0.902004454,0.451388889,0.548611111,0.605483625,0.557294606,,,
814,387,42,477,407,0.147777591,0.906458797,0.447916667,0.552083333,0.604722011,0.559951751,,,
470,386,42,478,407,0.147481849,0.906458797,0.446759259,0.553240741,0.603960396,0.561092928,,,
322,848,252,16,197,0.834978868,0.438752784,0.981481481,0.018518519,0.795887281,0.561552645,,,
590,851,259,13,190,0.83952453,0.423162584,0.984953704,0.015046296,0.792840823,0.577033618,,,
837,368,40,496,409,0.145908825,0.91091314,0.425925926,0.574074074,0.591774562,0.58094536,,,
318,366,40,498,409,0.145156193,0.91091314,0.423611111,0.576388889,0.590251333,0.583232904,,,
777,362,40,502,409,0.144996005,0.91091314,0.418981481,0.581018519,0.587204874,0.587808632,,,
823,357,39,507,410,0.143156506,0.913140312,0.413194444,0.586805556,0.584158416,0.593199263,,,
740,356,39,508,410,0.140447567,0.913140312,0.412037037,0.587962963,0.583396801,0.594344219,,,
806,351,37,513,412,0.132577362,0.917594655,0.40625,0.59375,0.581111957,0.599441159,,,
812,347,37,517,412,0.131735081,0.917594655,0.40162037,0.59837963,0.578065499,0.60402717,,,
601,346,37,518,412,0.129619982,0.917594655,0.400462963,0.599537037,0.577303884,0.605173776,,,
317,344,37,520,412,0.123705341,0.917594655,0.398148148,0.601851852,0.575780655,0.607467112,,,
166,343,37,521,412,0.112961988,0.917594655,0.396990741,0.603009259,0.57501904,0.608613841,,,
593,342,37,522,412,0.100466586,0.917594655,0.395833333,0.604166667,0.574257426,0.60976061,,,
491,852,274,12,175,0.841328999,0.389755011,0.986111111,0.013888889,0.782178218,0.610403021,,,
303,340,37,524,412,0.09855936,0.917594655,0.393518519,0.606481481,0.572734196,0.612054269,,,
558,852,278,12,171,0.849758086,0.380846325,0.986111111,0.013888889,0.779131759,0.619309433,,,
600,852,279,12,170,0.850693276,0.378619154,0.986111111,0.013888889,0.778370145,0.621536047,,,
579,858,297,6,152,0.861213205,0.338530067,0.993055556,0.006944444,0.769230769,0.661506385,,,
585,859,308,5,141,0.871104223,0.31403118,0.994212963,0.005787037,0.761614623,0.68599323,,,
293,859,313,5,136,0.891681842,0.302895323,0.994212963,0.005787037,0.75780655,0.697128697,,,
478,859,314,5,135,0.898464223,0.300668151,0.994212963,0.005787037,0.757044935,0.699355792,,,
309,859,318,5,131,0.905555424,0.291759465,0.994212963,0.005787037,0.753998477,0.708264177,,,
512,859,319,5,130,0.905990243,0.289532294,0.994212963,0.005787037,0.753236862,0.710491274,,,
480,859,320,5,129,0.913012429,0.287305122,0.994212963,0.005787037,0.752475248,0.712718372,,,
433,859,322,5,127,0.923879975,0.28285078,0.994212963,0.005787037,0.750952018,0.717172569,,,
302,859,323,5,126,0.927456759,0.280623608,0.994212963,0.005787037,0.750190404,0.719399669,,,
